player_id,gamer_tag,favorite_game,player_rank,matches_played,win_rate_percent,average_ping_ms,total_playtime_hours,toxicity_reports,preferred_region,hardware_type,account_creation_date
GLB-000001,Player0,Valorant,Platinum,966,37.8,51,1075.7,0,South America,PC,2017-05-15
GLB-000002,Player1,Counter-Strike 2,,4811,63.1,95,2071.4,0,EU East,Mobile,2020-08-26
GLB-000003,Player2,League of Legends,Global Elite,488 maç,65.2,52,1638.1,0,Asia,PC,2020-10-30
GLB-000004,Player3,PES 2021,Gold,4553,62.5,87,2929.0,0,NA,PC,"March 15, 2020"
GLB-000005,Player4,PES 2021,Gold,556,44.2,90,312.5,1,NA,PC,04/02/2020
GLB-000006,Player5,Apex Legends,Bronze,4477,33.9,73,1695.0,0,South America,PC,"October 01, 2023"
GLB-000007,Player6,Apex Legends,Platinum,2008,45.2,20,2708.8,0,EU West,Mac,10/10/2017
GLB-000008,,Counter-Strike 2,Silver,243,56.3,85,997.9,0,South America,PC,2016-09-05
GLB-011163,Player8,League of Legends,Silver,3530,36.0,65,2647.1,0,EU East,PC,2024-01-22
GLB-000010,Player9,Counter-Strike 2,Gold,80,65.6,106,179.9,0,EU West,Console,2023-06-19
GLB-000011,Player10,Valorant,Global Elite,544,74.1,58,481.9,-1,EU East,Mobile,15/10/2015
GLB-000012,Player11,cs2,Global Elite,2200,44.5,31,447.0,0,Asia,Mobile,"May 21, 2023"
GLB-000013,Player12,Counter-Strike 2,Gold,214,33.6,117,766.9,2,EU East,PC,17/06/2023
GLB-000014,,PES 2021,Bronze,3652,68.6,112,1930.4,0,EU East,PC,09/08/2021
GLB-000015,Player14,League of Legends,Diamond,4979,38.8,55,2522.8,0,NA,PC,2017-10-16
GLB-000016,Player15,Apex Legends,Global Elite,3994,44.0,22,989.4,0,North America,PC,2021-08-06
GLB-000017,Player16,PES 2021,,1973,49.6,24,2873.1,0,South America,PC,"February 10, 2024"
GLB-000018,Player17,PES 2021,Global Elite,4133,37.6,13,2339.9,0,Asia,PC,"April 04, 2024"
GLB-000019,Player18,Counter-Strike 2,Silver,3179,50.9,59,2162.4,-1,North America,Console,2017-12-03
GLB-000020,Player19,Apex Legends,Gold,1500,40.8,62,519.8,2,EU East,Mobile,"May 27, 2017"
GLB-000021,Player20,Counter-Strike 2,Global Elite,2492,43.1%,10,2529.5,0,South America,Console,2018-03-06
GLB-000022,Player21,Counter-Strike 2,Platinum,388 maç,48.7%,24,733.5,1,Asia,PC,"August 18, 2020"
GLB-000023,Player22,Valorant,Bronze,4447,53.2,38,1832.1,0,EU West,PC,"June 21, 2023"
GLB-000024,Player23,League of Legends,Gold,1731,51.7,38,733.9,0,Asia,PC,25/06/2024
GLB-000025,Player24,Counter-Strike 2,Diamond,521,44.2,50,1209.8,,EU West,PC,"September 07, 2023"
GLB-000026,Player25,Valorant,Platinum,4232,67.8,,1608.5,None,South America,PC,"July 17, 2019"
GLB-000027,Player26,Counter-Strike 2,Global Elite,1517,64.6,81,1239.6,0,NA,PC,2018-04-04
GLB-000028,Player27,Dota 2,Diamond,3413,42.1,27,1470.7,10,EU West,PC,"July 27, 2023"
GLB-000029,Player28,PES 2021,Bronze,4183,53.7,112,724.5,0,EU West,PC,2017-08-21
GLB-000030,Player29,League of Legends,Global Elite,4267,74.1,9,633.9,0,EU East,PC,2017-08-15
GLB-000031,Player30,Dota 2,Global Elite,2765,54.9,108,1792.3,0,EU West,PC,2015-07-07
GLB-000032,Player31,cs2,Diamond,3877,56.6,52,1995.8,0,NA,PC,15/11/2020
GLB-000033,Player32,Apex Legends,,1108,30.9,24,1497.4,0,EU West,Console,15/12/2019
GLB-000034,Player33,Apex Legends,Gold,2522,52.7,44,2911.4,0,EU East,PC,"November 24, 2021"
GLB-000035,Player34,Counter-Strike 2,Global Elite,2309,74.1,39,2013.4,0,South America,Mobile,2022-01-19
GLB-000036,Player35,PES 2021,Diamond,4176,63.7,68,2592.8,0,NA,PC,"August 23, 2019"
GLB-000037,Player36,League of Legends,Silver,2538,48.4,88,1951.4,0,EU West,PC,24/06/2022
GLB-000038,Player37,Apex Legends,Bronze,2385,60.1,14,2159.7,0,EU West,PC,2017-06-07
GLB-000039,Player38,Dota 2,Platinum,2977,41.3,28,2352.3,0,EU West,Console,2018-09-10
GLB-000040,Player39,Dota 2,Diamond,1521,73.5,52,2844.5,0,Asia,PC,12/07/2016
GLB-000041,Player40,League of Legends,Global Elite,3985,43.5,21,4.3k,0,Asia,Console,01/05/2023
GLB-000042,Player41,League of Legends,Platinum,3704,58.6,62,215.4,2,Asia,Console,05/09/2021
GLB-000043,Player42,Apex Legends,Platinum,359,73.9,15,2002.1,0,EU West,PC,"March 27, 2024"
GLB-000044,Player43,League of Legends,Platinum,,67.7,93,2745.6,3,EU West,Console,21/03/2021
GLB-000045,Player44,Apex Legends,Bronze,1106,%64,52,2844.4,0,Asia,PC,2024-04-05
GLB-000046,Player45,League of Legends,Platinum,4035,74.9,97,2821.8,0,North America,Mobile,23/02/2020
GLB-000047,Player46,Valorant,Silver,1232,30.1,27,4.2k,0,NA,PC,06/01/2020
GLB-000048,Player47,Apex Legends,Bronze,4322,61.7,119,1883.2,0,Asia,Console,19/04/2023
GLB-000049,Player48,PES 2021,Gold,1733,72.6,13,2673.1,0,EU East,Console,2018-08-03
GLB-000050,Player49,PES 2021,Platinum,4347,36.0,77,2997.5,3,South America,Mobile,"December 03, 2015"
GLB-000051,Player50,cs2,Bronze,4150,34.5,29,214.5,,Asia,Console,27/04/2018
GLB-000663,,Counter-Strike 2,gümüş,953,58.7%,20,1586.5,0,NA,PC,2019-01-09
GLB-000053,Player52,Dota 2,Silver,1961,64.5,103,2334.2,0,EU West,Console,"March 27, 2018"
GLB-000054,Player53,PES 2021,Bronze,3068,58.0,18,809.9,Sıfır,EU West,PC,"November 29, 2017"
GLB-000055,Player54,Apex Legends,Silver,332,46.3,15,888.4,0,NA,Console,2024-02-22
GLB-000056,Player55,Counter-Strike 2,Gold,4919,61.4,28,2708.5,0,EU East,PC,29/01/2023
GLB-000057,Player56,Valorant,Bronze,2511,73.7,30,2905.4,0,South America,PC,2019-06-04
GLB-000058,Player57,Valorant,Diamond,657,63.6,15,1441.5,1,NA,PC,"December 27, 2023"
GLB-000059,Player58,League of Legends,Diamond,4382,55.3,40,722.2,0,EU West,Console,23/05/2018
GLB-000060,Player59,Counter-Strike 2,Diamond,215,67.7,86,1474.3,3,North America,PC,07/03/2019
